Timestamp,Participant,Style,Challenges,DifficultToUnderstand,Confusing,EasyToRemember,AbsorbedInLearning,Enjoyable,FreeRecall,Session,FreeRecall-Immediate,FreeRecallDelayed,FreeRecall-Delayed
,p901,S1,,6,6,3,5,3,,1,5,,1
,p901,S2,,5,3,5,6,6,,3,6,,1
,p901,W1,,7,7,1,2,1,,2,3,,1
,p901,W2,,5,3,4,5,5,,4,5,,1
,p902,S2,"many words, but good that sentences are broken down and progressively longer",3,2,3,4,4,,1,4,,0
,p902,W2,difficult to multitask,5,5,3,4,3,,2,7,,1
,p902,S1,,4,3,4,4,4,,3,6,,1
,p902,W1,,4,5,3,4,4,,4,7,,1
,p904,W2,nil,4,6,2,6,3,,1,2,,0
,p904,S2,nil,5,5,3,6,5,,2,3,,0
,p904,W1,nil,5,5,2,6,4,,3,1,,0
,p904,S1,nil,5,4,4,6,4,,4,3,,0
,p903,W1,each sentence was went though a bit too fast,4,2,4,6,7,,1,5,,1
,p903,S1,,2,2,4,7,7,,2,7,,1
,p903,W2,,5,4,3,6,7,,3,7,,1
,p903,S2,,2,2,5,7,7,,4,7,,1
,p905,S1,na,3,3,3,3,2,,1,8,,0
,p905,W1,n a,6,6,1,2,1,,2,4,,0
,p905,S2,na,4,4,5,5,2,,3,8,,0
,p905,W2,,5,5,2,2,2,,4,8,,0
,p906,S2,the sentences felt to go by a bit faster,2,1,6,7,6,,1,7,,0
,p906,W2,I was more foccused on learning than the task- i got some blocks wrong,3,2,3,5,5,,2,3,,0
,p906,S1,The sentences seemed to go by quickly,2,2,5,6,7,,3,5,,0
,p906,W1,Trouble focusing on both tasks,3,2,3,5,5,,4,3,,0
,p907,W1,the sentence isnt displayed all the time so it can be hard to recall once i forget,2,4,2,4,5,,1,1,,0
,p907,S1,the words were not displayed all the time which made it hard to remember once i forgot,3,4,4,5,5,,2,3,,0
,p907,W2,i failed to memorise before the next word is displayed,4,3,3,5,5,,3,1,,1
,p907,S2,i tend to forget the previous sentences easily,4,4,5,5,5,,4,4,,0
,p908,W2,"When i see the new sentences, it makes me easy forgot the previous content.",3,4,2,3,4,,1,4,,0
,p908,S2,This time i feel better on learn the word.,2,2,6,5,7,,2,2,,0
,p908,W1,It would be very distracting when learning and doing lego at same time,3,2,4,2,3,,3,1,,0
,p908,S1,"No challenges, it is better.",2,1,6,6,7,,4,4,,0
,p909,S1,,4,3,4,6,7,,1,5,,1
,p909,W1,,6,6,2,5,4,,2,2,,0
,p909,S2,,2,3,6,6,6,,3,6,,1
,p909,W2,,6,6,2,6,4,,4,4,,0
,p910,S2,perhaps repeat the whole sentence once more,3,2,4,5,5,,1,6,,0
,p910,W2,nil,3,4,4,4,5,,2,3,,1
,p910,S1,,2,3,4,5,5,,3,5,,1
,p910,W1,,2,3,4,5,5,,4,2,,0
,p911,W1,nil,5,5,2,2,2,,1,5,,4
,p911,S1,nil,3,3,4,3,3,,2,7,,0
,p911,W2,nil,5,5,2,4,4,,3,6,,2
,p911,S2,nil,3,2,5,5,3,,4,6,,0
,p912,W2,,3,3,4,2,2,,1,7,,0
,p912,S2,,2,2,1,1,1,,2,6,,1
,p912,W1,,2,2,4,4,4,,3,3,,0
,p912,S1,,2,1,1,1,1,,4,7,,0
